id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
0VOMBffX1llDu37yQUt3u3	0.474	0.576	1	-6.963	1	0.257	0.00248	0.000309	0.174	0.285	157.947	195197	4	pop
2ZlABhxMMa43COmZ97kKsJ	0.799	0.575	6	-6.257	0	0.282	0.221	0	0.196	0.319	99.026	137151	4	pop
6uFn47ACjqYkc0jADwEdj1	0.772	0.639	1	-7.119	1	0.467	0.15	0	0.0698	0.261	168.112	166560	4	pop
0qhX394bbCj1YzJGnLxqoP	0.589	0.521	6	-6.334	0	0.46	0.239	0	0.208	0.357	198.276	137151	4	pop
3lOMJTQTd6J34faYwASc33	0.795	0.859	2	-2.994	1	0.0542	0.0361	0	0.0321	0.356	96.986	168107	4	pop
4GssB27iJeqmfGxS94Tfij	0.461	0.897	3	-3.982	0	0.092	0.00821	0	0.0965	0.358	165.107	220537	4	pop
2g8HN35AnVGIk7B8yMucww	0.78	0.575	9	-7.247	0	0.273	0.43	0	0.143	0.773	84.492	252747	4	pop
3wn8nOygkHLUQ9dlXM1rKW	0.705	0.613	7	-7.441	1	0.123	0.262	6.97e-06	0.198	0.259	74.521	167187	4	pop
6EDO9iiTtwNv6waLwa1UUq	0.8	0.56	5	-4.818	0	0.261	0.057	0	0.134	0.45	163.071	200221	4	pop
1jaTQ3nqY3oAAYyCTbIvnM	0.923	0.604	11	-6.671	0	0.245	0.017	0	0.272	0.826	145.062	139741	4	pop
79s5XnCN4TJKTVMSmOx8Ep	0.548	0.805	7	-5.732	1	0.351	0.212	0.000389	0.408	0.648	142.094	216387	4	pop
0So2sgVa8aJiARPl2P29u2	0.725	0.446	4	-8.958	0	0.0287	0.85	0.243	0.107	0.311	90.024	187333	4	pop
2haE7jlj8D0qeINMIuna81	0.599	0.681	7	-4.5	1	0.0331	0.0593	0	0.324	0.453	133.995	228027	4	pop
5sbooPcNgIE22DwO0VNGUJ	0.566	0.769	7	-4.342	1	0.0872	0.0183	0	0.108	0.385	170.036	191100	4	pop
35gK0UeTh8GKAZLmRXqUm0	0.599	0.681	7	-4.5	1	0.0331	0.0593	0	0.324	0.453	133.995	228027	4	pop
57Pk2GU0ABFYBbbcgYxqki	0.715	0.227	0	-12.692	1	0.172	0.778	0	0.148	0.535	88.864	224387	4	pop
1EG6y4KL5c0T5UAT41d7VH	0.684	0.62	10	-9.029	1	0.188	0.0541	0	0.142	0.773	159.893	156813	4	pop
3Jv1XgMPVjdN5xGfnRJ20s	0.734	0.892	2	-1.856	1	0.125	0.0648	0	0.58	0.605	138.031	303533	4	pop
6wWl6e4W013koGS8q73vho	0.407	0.76	10	-4.791	0	0.166	0.00576	0	0.341	0.303	162.844	159350	4	pop
0fIffclhgJC5h8AdMMVvkp	0.637	0.723	2	-5.547	1	0.091	0.0134	7.87e-05	0.196	0.228	143.013	214960	4	pop
1jDbQz6tr52WgScCTXMnaN	0.741	0.599	1	-6.672	0	0.419	0.00961	0	0.785	0.276	139.891	227474	4	pop
25zlnOAzbVoOzIeXSvQFf1	0.688	0.647	2	-7.258	1	0.19	0.00815	1.65e-05	0.095	0.195	88.834	164580	4	pop
