id	name	popularity	available markets	release date	total tracks
1WRiN6skJPCcnoP99a0oIQ	2022 Freestyle	40	183	2022-04-22	1
58NXIEYqmq5dQHg9nV9duM	Dirt (2022 Remaster)	70	183	1992-09-29	13
40py8Fn35TC6GnszSKccjZ	Past Lives	53	182	2022-11-11	11
58NXIEYqmq5dQHg9nV9duM	Dirt (2022 Remaster)	70	183	1992-09-29	13
7lPoGKpCGgdKFAxpudhAH5	Speak Your Mind (Deluxe)	72	183	2018-04-27	18
4uDaEWj8W206qyyyndHri9	2022 Tanging Ain't Dead Cypher	36	183	2022-02-21	1
58NXIEYqmq5dQHg9nV9duM	Dirt (2022 Remaster)	70	183	1992-09-29	13
6mPSjHXiuf2zHA0ssVp8iU	Hayya Hayya (Better Together) [Music from FIFA World Cup Qatar 2022 Soundtrack]	55	182	2022-04-01	1
4kJhEHkg1ggweXBa45GhPf	2022 World Championship Theme	40	183	2022-09-07	1
0TJbHn3Cx2UhILpiinvHlV	Christmas 2022	5	95	2022-11-18	37
5XXymqS9NunPlUbovZK8WJ	Sleeper Catcher (Remastered 2022)	54	182	1978	10
0VgAgvoUbLDa0QdTLPIHCG	2022	33	182	2022-09-23	2
6zgGrSukZBdczZRXwrzkDV	2022	32	183	2022-01-07	1
5Wl4V0LZt5cl9JIrR3fqTA	Christmas Vibes 2022	15	95	2022-11-15	97
0Gmf4pfe0POEQq2FgGAj2q	ODDINARY	74	181	2022-03-18	7
0WaZyW9cCVYUVwlme39iyC	Happy Christmas 2022	1	94	2022-11-20	27
0gX9tkL5njRax8ymWcXARi	Unholy (feat. Kim Petras)	88	182	2022-09-22	1
5yXhPA6vpIvxsKQvgnFpRr	2022	23	183	2022-10-29	1
0WaZyW9cCVYUVwlme39iyC	Happy Christmas 2022	1	94	2022-11-20	27
2pqdSWeJVsXAhHFuVLzuA8	As It Was	82	182	2022-03-31	1
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
7M842DMhYVALrXsw3ty7B3	I'm Good (Blue)	86	182	2022-08-26	2
1ulbeAv0gZQqzxyPzp6pst	2022	25	183	2022-04-08	1
0xkKzTdvWzS8DA4hzyQijn	Let It Snow 2022	3	95	2022-11-17	85
6al2VdKbb6FIz9d7lU7WRB	Proof	85	183	2022-06-10	35
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
3XoK5Dz1cSeeRi5bbO2Gbt	Truth About You	52	183	2021-07-09	1
0gr5OmB74UhoANEXwYT3gE	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	67	183	2022-11-20	1
6SUNBtxid3iF70ordzeeLu	Capodanno 2022 Canzoni per bambini	0	81	2022-11-20	60
3cf4iSSKd8ffTncbtKljXw	Honestly, Nevermind	83	182	2022-06-17	14
3wr1hWL6eyUjhqULGy0oyK	2022	21	183	2021-12-31	1
3s6JvkRZ7DPCFqqu8ssOHm	Musica di Natale per bambini 2022	5	94	2022-11-15	31
07AiRVrtrniKqkxHpLLY2g	Blow	62	182	2022-09-22	1
58NXIEYqmq5dQHg9nV9duM	Dirt (2022 Remaster)	70	183	1992-09-29	13
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
0h5MuD9O9o1VoN07mQmwMQ	Super Freaky Girl	77	182	2022-08-12	1
3EFhsxrJoH3yE3r8bHheE6	Grave Dancers Union (2022 Remaster)	60	183	1992-10-06	12
151w1FgRZfnKZA9FEcg9Z3	Midnights	97	182	2022-10-21	13
31wLzYDAzz7bHSVnopz1Nv	Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	20	183	2022-11-19	2
7nII01joxrmJU3KQPLejxV	2022 Rewind	6	181	2022-11-11	70
4JApkbiesQxv5drdEZRlZC	About Damn Time	75	178	2022-04-14	1
1pPsslUdE1HeBxdlgXJ7Yp	First Under The Wire (Remastered 2022)	51	182	1979-07-01	10
