id	name	genres	followers	popularity
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	dance pop, pop, pop dance, post-teen pop, tropical house, uk pop	10348417	78
74JtukKDc5wZJcARxGgbC3	De La Vega		176	19
47mIJdHORyRerp4os813jD	League of Legends	speedrun, video game music	1535282	80
518WSacVSStYMaXDTvO0oj	Zandu Max		14	20
5ehbiyqYPwIDaUY4AxrhVq	Mademoiselle	indie viet, vietnamese singer-songwriter	48470	32
7uMSsrbX9MJzf161IcY7KU	Logan Paul	social media pop	948423	43
0KWdVd7ZYhtlm0CLHIFBya	Bằng Kiều	v-pop, vietnamese pop	441461	45
0KWdVd7ZYhtlm0CLHIFBya	Bằng Kiều	v-pop, vietnamese pop	441461	45
0KWdVd7ZYhtlm0CLHIFBya	Bằng Kiều	v-pop, vietnamese pop	441461	45
4fGeWbDvXrqstACG2JPVir	Hoàng Anh Khang		7	19
0vRvGUQVUjytro0xpb26bs	Arizona Zervas	pop, pop rap, rhode island rap, viral rap	695576	67
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	dance pop, pop, uk pop	37640565	88
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	canadian contemporary r&b, canadian pop, pop	54262150	95
3O5HD95HTEPgoPFOjAb7yV	DripReport	viral rap	100020	54
6ghs9Hr1YvkkCOkPqKFzcZ	Sky the Pilot		329	18
5huUF1XazRSvkFuuJxMjj4	Christina	junior eurovision	1580	50
2JAvsE1VknfAr3nnMnhMUS	Catherwren		369	15
7EnWkKTmRG5i9rW93o5DZm	Axxad	viral rap	6932	48
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	art pop, dance pop, pop	24153364	86
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	art pop, dance pop, pop	24153364	86
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85693637	90
6ARKr2ZoLf9TDoQiZarJMt	makko	german hip hop, german trap	151318	67
1R958FoJzZOnKsO4PY5aAe	Okfella	german trap	6815	35
