id	name	genres	followers	popularity
6FqXAd1hQl7vVdIQ3hhtgc	D. Savage	plugg, pluggnb, rap, underground hip hop, vapor trap, viral rap	401672	59
06HL4z0CvFAxyc27GXpf02	Taylor Swift	pop	61597049	100
2uRjuSX3CCVJO0KBA518XG	L.S. Dunes		32211	42
64tNsm6TnZe2zpcMVMOoHL	Alice In Chains	alternative metal, alternative rock, grunge, hard rock, nu metal, rock	4193537	70
1zNqDE7qDGCsyzJwohVaoX	Anne-Marie	dance pop, pop, pop dance, post-teen pop, tropical house, uk pop	10179165	76
0kdCOThNPqujCtumv0fG96	Dre Cannon Music		189	29
47mIJdHORyRerp4os813jD	League of Legends	speedrun, video game music	1515248	78
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	pop, uk pop	104581897	89
3L8FZaw2Rg1oUw3vB4gUME	Bazanji	pop rap	236225	59
5f7VJjfbwm532GiveGC0ZK	Lil Baby	atl hip hop, atl trap, rap, trap	12010642	89
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	canadian pop, pop	67146152	89
6O74knDqdv3XaWtkII7Xjp	Boyz II Men	boy band, contemporary r&b, new jack swing, r&b, urban contemporary	2604482	64
7cwYKm54nTTbnm0UnH0xBe	Baby Storme		43566	34
0NwTAtq8aQEly8SEPqFokX	Alex Cain		40	19
02da1vDJ2hWqfK7aJL6SJm	Soul Asylum	alternative rock, grunge, permanent wave, pop rock, post-grunge, rock	531923	54
23zg3TcAtWQy7J6upgbUnj	Usher	atl hip hop, contemporary r&b, dance pop, pop, r&b, south carolina hip hop, urban contemporary	10081756	77
6clbbhnIqpHnqxwtOWcilg	Little River Band	album rock, art rock, classic rock, country rock, folk rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock	995587	56
3Bd1OhtszKkeWwN1pIQxyP	Cartier Camo		207	19
1l528yNr0Jpv2dqg4r06kI	Battz	christian trap	6193	34
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	big room, dance pop, edm, pop, pop dance	24946642	88
4EPJlUEBy49EX1wuFOvtjK	Becky Hill	dance pop, edm, pop, pop dance, pop house, tropical house, uk dance	555489	76
7nDsS0l5ZAzMedVRKPP8F1	Ella Henderson	dance pop, pop, pop dance, post-teen pop, talent show, tropical house, uk pop	1456781	73
4bthk9UfsYUYdcFyqxmSUU	Tears For Fears	new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop	2583677	72
53SJovBw6wYRNkrqfccLLh	Zazenkai		6846	37
3Xp2zhqhMeT9j9bNIeyZWU	Angel Ruediger		1462	34
42IAg1RgfyE8c66KZcSlSR	saturn	glitchcore, hyperpop	31382	39
2wY79sveU1sp5g7SokKOiI	Sam Smith	dance pop, pop, uk pop	20643096	87
6FFSTXo40QrNA2tpT1xbq0	Fother Muckers	chilean indie, chilean rock, latin rock	73492	43
