id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
7LVrrX8pkzI9fMF88nGabt	0.742	0.662	5	-4.651	1	0.0647	0.578	0	0.126	0.486	84.006	200000	4	indie viet
3wn8HJNjkY4wzTBy35ZvQ6	0.429	0.364	7	-10.006	1	0.0547	0.455	0	0.0907	0.0857	173.63	300000	3	viet lo-fi
32K6zBYFUUxKrdsoZd7k3v	0.838	0.494	1	-7.51	0	0.142	0.78	2.91e-05	0.123	0.636	127.945	138973	4	vietnamese hip hop
3nw5vYaH4qVx8joq3qhtNx	0.891	0.28	1	-19.182	1	0.181	0.0197	0	0.0966	0.336	92.003	139276	4	vietnamese hip hop
6m1oexLqQpf9nbrkrHXOWc	0.698	0.587	6	-4.318	0	0.0569	0.717	1.5e-06	0.192	0.569	88.006	246818	4	v-pop
4Ba99csVDlRFQILO5cSi7I	0.34	0.255	11	-13.713	1	0.0611	0.882	6.38e-05	0.161	0.46	67.905	202625	4	v-pop
1CyYcBdukmFjFibDZaDlHc	0.648	0.543	0	-6.781	1	0.0399	0.143	0	0.187	0.382	119.926	201507	4	v-pop
7AS3f6iaLQ4NZCMZKuhWmy	0.729	0.618	2	-7.546	1	0.316	0.432	2.65e-05	0.268	0.345	89.234	200000	4	v-pop
696w9BHmEY62myVCSDyrYW	0.656	0.331	2	-9.88	1	0.0302	0.363	0	0.201	0.5	105.015	247429	3	indie viet
4HBZA5flZLE435QTztThqH	0.597	0.45	8	-6.658	1	0.0418	0.223	0	0.382	0.537	178.765	228482	3	dance pop
6jcG3yZ0e2CSI6omkYO1ut	0.764	0.51	2	-7.47	1	0.0757	0.542	0	0.112	0.616	105.024	178286	4	indie viet
2z9iLlNBt1aLZUCFgXby97	0.746	0.724	10	-3.976	0	0.0498	0.119	2.09e-05	0.0506	0.596	95.003	202105	4	v-pop
2xXhccBCgXADkx05KDi1hp	0.663	0.381	6	-13.088	1	0.103	0.806	2.64e-05	0.0997	0.639	127.7	208518	4	indie viet
5uyNAX6MazVAjBjVeOsTvp	0.794	0.464	11	-7.654	1	0.0589	0.847	4.11e-06	0.181	0.479	123.942	232258	4	indie viet
5sh8NLB5FULZqYZoLl1wac	0.617	0.472	0	-11.206	1	0.0547	0.526	0	0.112	0.684	149.992	184297	4	indie viet
0VjIjW4GlUZAMYd2vXMi3b	0.514	0.73	1	-5.934	1	0.0598	0.00146	9.54e-05	0.0897	0.334	171.005	200040	4	canadian contemporary r&b
4Iz5EWPCAT8jYNk4IpLoll	0.632	0.579	11	-8.352	1	0.0602	0.187	1.93e-06	0.101	0.503	155.984	233976	4	indie viet
17iGUekw5nFt5mIRJcUm3R	0.569	0.66	2	-5.268	1	0.0358	0.0675	0	0.202	0.497	155.907	301538	4	v-pop
014DA3BdnmD3kI5pBogH7c	0.781	0.608	8	-8.452	1	0.0408	0.217	3.63e-05	0.158	0.609	101.017	270000	4	indie viet
7oX6qKTnKeVG6iT0qG1i29	0.554	0.554	0	-5.93	1	0.0318	0.637	0	0.117	0.256	118.012	315264	4	v-pop
4inMQ83GNpQ2OHDredH5hW	0.763	0.619	8	-8.427	1	0.072	0.526	4.81e-05	0.102	0.117	119.985	257000	4	v-pop
1Uj89dqT3gdnnKZnaOMWI8	0.578	0.382	9	-9.915	0	0.0505	0.422	0.000254	0.118	0.209	179.799	194578	4	v-pop
5BTzf3doGTigDIYUFtbkI9	0.494	0.395	6	-8.653	1	0.0301	0.887	1.43e-05	0.058	0.179	141.464	234168	4	v-pop
5Um995yUx3GSJ6uNOMaaP4	0.564	0.592	0	-9.458	1	0.0449	0.525	0.0199	0.102	0.427	147.941	233514	4	v-pop
6Im9k8u9iIzKMrmV7BWtlF	0.83	0.585	0	-6.476	1	0.094	0.237	0	0.248	0.485	109.978	173711	4	dance pop
3YaRY9vbpnggTArCdGVXnS	0.723	0.131	3	-17.076	1	0.0353	0.922	0.0256	0.0775	0.16	116.049	134545	4	
35mvY5S1H3J2QZyna3TFe0	0.737	0.802	0	-4.771	1	0.0878	0.468	0	0.0931	0.682	144.015	172325	4	dance pop
0mjCVMElNTISeFwF2VdWJ3	0.892	0.218	5	-16.881	0	0.513	0.277	1.39e-05	0.0638	0.815	148.065	216438	4	vietnamese hip hop
27F22WcGDyl4Z2KylVJkXL	0.659	0.216	7	-16.081	1	0.0303	0.455	4.64e-06	0.092	0.174	94.004	266000	4	indie viet
1mKDbug8bbfDmLe7I4CJpe	0.745	0.527	6	-8.09	1	0.0786	0.571	0	0.11	0.385	95.034	282629	4	indie viet
