danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	genre
0.625	0.533	10	-11.903	0	0.0596	0.659	0.00266	0.0546	0.139	108.296	29d0nY7TzCoi22XBqDQkiP	300840	4	art pop
0.582	0.944	2	-0.928	0	0.185	0.00573	1.27e-06	0.547	0.8	143.97	4DnHUy01jEA4b5ydC3HgsT	207977	4	latin hip hop
0.729	0.625	4	-5.266	1	0.0315	0.194	0.00986	0.248	0.261	146.034	1xzBco0xcoJEDXktl7Jxrr	183907	4	rap
0.753	0.657	7	-3.061	1	0.0449	0.171	0	0.112	0.437	107.01	09IStsImFySgyp0pIQdqAc	184732	4	complextro
0.88	0.428	9	-8.28	1	0.206	0.149	5.05e-05	0.114	0.333	100.007	7sO5G9EABYOXQKNPNiE9NR	172800	4	atl hip hop
0.931	0.387	1	-9.127	1	0.412	0.088	0	0.136	0.375	125.978	1M6SuEJZJkZf2S419vIPkB	179405	4	emo rap
0.834	0.73	8	-3.714	1	0.222	0.00513	0	0.124	0.446	155.008	2xLMifQCjDGFmkHkpNLD9h	312820	4	rap
0.708	0.878	8	-5.099	1	0.0468	0.00753	0.646	0.0536	0.596	150.053	5TueD7dEIlQzQIGxH2mjvp	145621	4	hard bass
0.922	0.581	10	-7.495	1	0.27	0.00104	5.86e-05	0.105	0.595	140.022	4qKcDkK6siZ7Jp1Jb4m0aL	181263	4	memphis hip hop
0.298	0.831	8	-7.256	1	0.117	0.0058	0.288	0.637	0.724	157.17	6UrgPc2f78pgDrdodMJA42	267253	3	supergroup
0.876	0.519	11	-6.531	1	0.143	0.202	0	0.108	0.158	94.981	1ZAyjvIk9YiD76yYy0TEG6	175230	4	atl hip hop
0.791	0.582	11	-7.323	0	0.286	0.0114	0	0.35	0.443	162.991	1e1JKLEDKP7hEQzJfNAgPl	181812	4	atl hip hop
0.755	0.599	8	-5.042	1	0.224	0.147	0	0.109	0.755	133.123	10Igtw8bSDyyFs7KIsKngZ	216632	4	comedy rap
0.438	0.735	9	-5.157	0	0.0525	0.000485	0.872	0.0706	0.46	104.458	7yg9468XEZe3XMOO8oTzL8	117996	4	garage pop
0.713	0.831	1	-4.75	0	0.15	0.0168	0	0.118	0.584	173.948	1BuZAIO8WZpavWVbbq3Lci	332301	4	hip hop
0.581	0.256	1	-14.279	1	0.0409	0.843	2.97e-06	0.0951	0.428	126.076	54nheCglJ7KKy12Fr3QlKK	138413	4	hollywood
0.788	0.338	4	-11.021	0	0.0419	0.206	0.942	0.0984	0.168	130.988	2FngoCatZDqdvX8OIU07Mk	139246	4	chillhop
0.645	0.705	1	-5.008	1	0.299	0.000813	0	0.128	0.376	137.133	51rXHuKN8Loc4sUlKPODgH	229670	4	conscious hip hop
0.854	0.463	5	-6.159	1	0.137	0.117	0	0.354	0.549	120.024	0b9oOr2ZgvyQu88wzixux9	225773	4	atl hip hop
0.886	0.525	8	-7.39	1	0.132	0.236	0	0.057	0.708	145.99	0qy5D3OJre7SPJNMOL9I71	225205	4	pop rap
0.94	0.335	5	-10.179	0	0.505	0.17	0	0.262	0.707	120.04	5hTpBe8h35rJ67eAWHQsJx	209640	4	hip hop
0.851	0.625	10	-5.417	0	0.303	0.195	0	0.266	0.668	99.061	2NyrXRn4tancYPW6JwtTl2	158684	4	detroit hip hop
0.577	0.764	0	-5.725	1	0.121	0.0135	3.25e-06	0.447	0.409	145.03	5MeEgXbnjUDHjfrCTV7wcN	175965	4	english indie rock
0.74	0.613	8	-4.88	1	0.145	0.258	0.00372	0.123	0.473	75.023	3ee8Jmje8o58CHK66QrVC2	166606	4	emo rap
0.56	0.68	6	-7.648	0	0.321	0.555	0	0.116	0.319	89.391	0d2iYfpKoM0QCKvcLCkBao	173800	4	dance pop
0.784	0.344	7	-10.843	1	0.065	0.929	0.726	0.0613	0.486	148.024	2nvNhtBQmzW1SfclVIsvqG	86929	4	disney
0.884	0.559	0	-7.442	1	0.12	0.0236	0	0.101	0.342	97.994	5IaHrVsrferBYDm0bDyABy	232959	4	dance pop
0.81	0.353	6	-9.931	0	0.31	0.588	0	0.102	0.0727	88.031	0AluA5RNsa4Cx6XRhf2hWZ	208293	4	hip hop
0.904	0.518	2	-5.32	1	0.183	0.0305	0	0.325	0.188	137.996	4wFjTWCunQFKtukqrNijEt	303077	4	atl hip hop
0.745	0.346	1	-7.709	1	0.331	0.00552	0	0.0881	0.112	203.911	0ZNrc4kNeQYD9koZ3KvCsy	237240	4	cali rap
0.596	0.854	7	-5.114	0	0.463	0.0169	0	0.124	0.152	120.274	55S2PQgSMYAhgoTCcGCDfw	203418	4	boy band
0.839	0.5	1	-6.909	1	0.266	0.0192	1.74e-06	0.0605	0.189	149.978	1Hu29zDZgLYJDiYuCpkB46	129987	4	j-rap
0.232	0.674	1	-5.563	1	0.0471	0.00134	0.216	0.164	0.346	170.145	52sBqlQ6xzddDRN6KxtPW7	200184	3	complextro
0.639	0.258	2	-8.676	1	0.106	0.875	0.00115	0.111	0.209	57.465	7nacp25iHp37BdjPFdSdgZ	183301	4	korean underground rap
0.655	0.744	0	-4.937	0	0.384	0.34	0	0.104	0.27	83.763	4laCl5IHvN6i1c7fELFHpI	165714	4	polish hip hop
0.759	0.409	3	-8.399	0	0.178	0.565	6.23e-05	0.112	0.693	75.019	5bvx7IuEdvPcIo0ZnSdIOB	115252	4	canadian hip hop
0.617	0.636	1	-8.353	1	0.054	2.56e-05	0.862	0.136	0.649	147.009	2XNMjyuThWCzw1TFvuTRDL	40960	4	drain
0.635	0.692	5	-7.04	0	0.048	0.123	0	0.113	0.704	87.059	3r80XoDyaA3Z0yRVPZV91E	218012	4	antideutsche
