id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
1mWdTewIgB3gtBM3TOSFhB	0.759	0.459	8	-5.187	1	0.0948	0.00323	0	0.0906	0.695	109.997	164442	4	pop
6A1IbMKwjvXibcrU1sdqKH	0.638	0.703	5	-6.413	0	0.108	0.213	0.000985	0.0927	0.289	180.008	197333	4	pop
5iZHnufFUgATzrpGgH1K0W	0.662	0.205	5	-14.005	0	0.0349	0.876	0.00354	0.109	0.268	139.911	260571	4	pop
4CUvVaAYuXtvYURLFz7EIL	0.517	0.467	0	-7.222	1	0.0442	0.724	0	0.0908	0.453	199.815	208049	3	pop
2EZtTS76x5M6hK96CLclPd	0.658	0.451	6	-7.721	1	0.041	0.531	3.39e-05	0.122	0.472	179.862	258668	4	pop
3r8RuvgbX9s7ammBn07D3W	0.814	0.641	6	-5.957	0	0.111	0.027	0	0.0993	0.183	133.854	185507	4	pop
1xoadYaxtOp9gHDwgmPDuz	0.624	0.604	2	-5.438	1	0.0619	0.784	0.00869	0.108	0.354	136.077	247059	4	pop
1MiJk3dXC5jzhvLFP0dUM7	0.66	0.578	9	-8.591	1	0.0306	0.45	8.86e-05	0.103	0.19	127.092	269021	4	pop
5hkAuvgkOrd4KpDOlCNsvW	0.677	0.727	9	-5.304	0	0.0328	0.119	0	0.117	0.457	149.986	265600	4	pop
7uoFMmxln0GPXQ0AcCBXRq	0.716	0.512	1	-6.257	1	0.0331	0.483	0	0.0928	0.326	104.957	165907	3	pop
4X2iEvLVDm1Acd8Xmxw1ZC	0.706	0.776	9	-4.41	0	0.189	0.0927	0	0.19	0.747	160.026	172000	4	pop
1EmMFSLRVkOszCa4ul9z0F	0.663	0.344	0	-14.025	1	0.0495	0.922	0.00298	0.0916	0.469	135.904	240000	4	pop
7LVrrX8pkzI9fMF88nGabt	0.742	0.662	5	-4.651	1	0.0647	0.578	0	0.126	0.486	84.006	200000	4	pop
5BTzf3doGTigDIYUFtbkI9	0.494	0.395	6	-8.653	1	0.0301	0.887	1.43e-05	0.058	0.179	141.464	234168	4	pop
17iGUekw5nFt5mIRJcUm3R	0.569	0.66	2	-5.268	1	0.0358	0.0675	0	0.202	0.497	155.907	301538	4	pop
6Hs2xIgB8nzyGFDvVA8lFa	0.79	0.423	9	-7.965	0	0.0533	0.87	0	0.149	0.726	133.961	218512	4	pop
5ECHJ1llWBNYLVCYrllD3x	0.71	0.552	5	-10.257	1	0.0694	0.761	1.22e-05	0.0921	0.617	139.904	255429	4	pop
4QjxvzEFwb63NZ1pp3wvHy	0.668	0.273	11	-8.136	1	0.0275	0.915	1.7e-06	0.11	0.33	84.953	255067	3	pop
2o4dDfLK6NVI7TjBm5VoMv	0.784	0.538	2	-8.077	0	0.0504	0.569	0	0.146	0.692	127.923	253524	4	pop
1izPmgSW7FV6XFdEOiTvOY	0.509	0.483	1	-7.386	1	0.0491	0.871	7.29e-06	0.101	0.387	185.915	237419	4	pop
7bFFUPBiF15n8m8RziqS4o	0.581	0.558	5	-10.404	1	0.0432	0.627	0.00022	0.102	0.271	76.992	281494	4	pop
5uyNAX6MazVAjBjVeOsTvp	0.794	0.464	11	-7.654	1	0.0589	0.847	4.11e-06	0.181	0.479	123.942	232258	4	pop
6iXGivPFpsqKmrINhIbPvx	0.704	0.542	2	-4.663	0	0.0307	0.476	0.000196	0.141	0.386	97.006	222314	4	pop
1hciAV5LrrTkRV0g0StZ6h	0.759	0.459	8	-5.187	1	0.0948	0.00323	0	0.0906	0.695	109.997	164442	4	pop
5Msoarj5hk9LguTtiIyqug	0.691	0.564	0	-4.606	1	0.0266	0.774	0	0.144	0.356	110.043	208939	4	pop
