id	name	popularity	available_markets	release_date	total_tracks
0gr5OmB74UhoANEXwYT3gE	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	81	184	2022-11-20	1
3lZ0sW4znNieFHxGdyWXCj	22	60	183	2022-08-18	11
2AZXUAGWs90yNEUC4biubs	Chìm Sâu	52	183	2022-02-24	1
38JFpZ6hGFaQ4BUxT7XcI0	Chết Trong Em	50	184	2022-10-31	1
7q2bB2NNFlNbtqadbn55pL	dự báo thời tiết hôm nay mưa – Maxi Single	52	183	2022-11-22	3
5DZXXrAKNwD0c0Avrs5W9j	Tại Vì Sao	52	183	2022-09-23	1
2vki9hRAipW0SbK0A0c92W	Ngày Đầu Tiên	48	184	2022-02-11	1
4AitP1QgqnYpEpx8KY07IA	ThichThich	50	184	2022-07-24	1
3lZ0sW4znNieFHxGdyWXCj	22	60	182	2022-08-18	11
706NYXSqVRFvEn2L4GFahN	Có Đâu Ai Ngờ	47	183	2022-09-08	1
5Af8YESOWf6nK6BcLh3hkA	Mặt Mộc	48	184	2022-08-05	1
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
7nvdYW7qe9f1DT7pZ1EXDg	Có Em (feat. Low G)	52	183	2022-04-22	1
5Gu0Ldddj2f6a0q5gitIok	vaicaunoicokhiennguoithaydoi	54	183	2022-06-20	1
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
50HY9g20cVF2PKCYmy5LFZ	Chạy Khỏi Thế Giới Này	51	183	2022-06-30	1
6nT2VfGN07ar1vdZyJY6ox	The Astronaut	77	183	2022-10-28	1
6RLMsEvmNeILizkH0RRNQ0	Lâu Lâu Nhắc Lại	48	183	2022-09-22	1
21hdhN4ANjq7TpqIr4UZmw	Bài Hát Hay Nhất - Big Song Big Deal (Tập 6)	48	182	2022-11-07	5
3YTsTxFi7qKmDx2TqlpYKG	Bên Trên Tầng Lầu	51	183	2022-06-10	1
08HCdXZVN72S2vpIT9DKhU	Indigo	85	184	2022-12-02	10
6al2VdKbb6FIz9d7lU7WRB	Proof	85	183	2022-06-10	35
4LyiYe4wZ6XwzUne79hidF	Left and Right (Feat. Jung Kook of BTS)	75	179	2022-06-24	1
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
3STAYL3gX9aQx2oi3yslIz	Một Ngàn Nỗi Đau	49	182	2022-06-23	1
305fd6KSKY40Yjgwvm2ck6	rapunzel	74	184	2022-01-21	8
08HCdXZVN72S2vpIT9DKhU	Indigo	85	184	2022-12-02	10
6al2VdKbb6FIz9d7lU7WRB	Proof	85	184	2022-06-10	35
6al2VdKbb6FIz9d7lU7WRB	Proof	85	183	2022-06-10	35
08HCdXZVN72S2vpIT9DKhU	Indigo	85	184	2022-12-02	10
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
1Ln8SYXthP1VIVaQPDmZH9	Chỉ Có Thể Là Anh	50	183	2022-06-18	11
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
3C5z2dMU7D6VLpnNtYujPJ	Vì Anh Đâu Có Biết	53	183	2022-08-04	1
08HCdXZVN72S2vpIT9DKhU	Indigo	85	184	2022-12-02	10
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
08HCdXZVN72S2vpIT9DKhU	Indigo	85	183	2022-12-02	10
4nfpHvg7KFcAUTg6yajpvN	Một Vạn Năm	57	182	2022-09-09	9
3klFA7nUuFtoVzfAAAWaND	but i knew you	0	95	2022-12-17	25
4rK845Idhs7lVL56RVw92A	楽しいクリスマス!	0	95	2022-12-17	20
3klFA7nUuFtoVzfAAAWaND	but i knew you	0	95	2022-12-17	25
13ScGTR2rgW6inerFgYe72	New Year Driving	0	94	2022-12-17	22
0dyqcMb6bGooJNaTctX5Zg	Christmas Songs	0	95	2022-12-17	12
6tN6graMf5OKQ1vP8TIn1H	This is Pop Hits	0	94	2022-12-16	32
7xbLauvzzONEJhnJzgWnRD	pov: you're enjoying a cup of hot chocolate	0	95	2022-12-17	52
2z23bquy5yfgrc20oH3rxP	Winter Chill 2023	0	95	2022-12-17	80
2pcsNCEEkMMUgbQ8tm4joO	Cañonazos de Pop en Diciembre	0	94	2022-12-16	31
2pcsNCEEkMMUgbQ8tm4joO	Cañonazos de Pop en Diciembre	0	94	2022-12-16	31
1phc4gkhE22HCUDZPt5jnk	Cozy Christmas Pop	0	94	2022-12-16	25
4vSIN4KwF1FLUFdQBWCTCO	Falling For Christmas	0	95	2022-12-16	20
1w74ARpNNB3ybFNhs4qWmV	Hương Mùa Hè	54	183	2022-07-24	17
6pE3CyFpqsy9acjSd65iyY	The Best New Years Playlist 2023	0	89	2022-12-17	51
535vHjb5sKDrTp0eRIRWu5	2022 西洋排行總回顧	0	82	2022-12-17	50
43yusWg4WAhnEYiGH3pBEc	Sad Beautiful Songs by The Circle Sessions	0	95	2022-12-17	51
0KousEGKaOTvfWaE3T3m1O	Clean Up Anthems	0	93	2022-12-17	93
2S9e9y7WbHaRI4WmbxLlyS	Sad Indie by The Circle Sessions	0	95	2022-12-17	32
7BvCnjrQsU6xJYrPSMQyhA	New Year Fresh Start	0	95	2022-12-17	49
47mIf6imkpfL13zZXtyff1	Best of the Best 2022	0	93	2022-12-17	37
71iqv8DX7oKQlQlYqESQwz	Hot Party Winter 2022	0	95	2022-12-17	28
2EOM3e2lsd3fLM6wdv3gov	Best of 2022: Sad Songs	0	95	2022-12-17	23
2cnLCdaSaJNTunyhnJaNGE	Best of 2022: Trending Viral	0	95	2022-12-17	45
3ThcUAqzN4WACbqwkiqJvj	Christmas Party	0	95	2022-12-17	61
4AQvnQTf4qasYAhUyqDTDC	Christmas Hits	0	95	2022-12-17	20
3xbTU2m6ptVlUsgh3mQxDs	Best of 2022	0	95	2022-12-17	35
66a7iu6H3Lmu3dTrPTFszN	Świąteczna Muzyka	0	95	2022-12-17	56
0Y4Y3HcWFSy9v5qne2KD5J	Tick Tock 2022	0	95	2022-12-17	72
0wrXT7MOrEX6edlFfQCmfU	Best Hits Of 2022	0	95	2022-12-17	26
6WTGUjcRkjuZfgDoWNCBIU	Hello Winter 2023	0	95	2022-12-17	42
59VGY6uQr28nip0ERg3xtq	Best Tunes of 2022	0	95	2022-12-17	141
3vGMdsKZey8IsVnjC6biya	Best Pop of 2022	0	95	2022-12-17	49
6WTGUjcRkjuZfgDoWNCBIU	Hello Winter 2023	0	95	2022-12-17	42
5aBaRYA4YeYMC5cY5pNzjB	Seasons Greetings	0	95	2022-12-17	35
7wd2AwIlznP0eL8v1Gbrry	Happy Christmas 2022	0	95	2022-12-17	42
4DsRtPCkDwFLmdQnXbTL7f	Winter Vibes 2023	0	95	2022-12-17	83
0Emswo3od5LcjbMcVnBjHt	Winterstimmung 2023	0	95	2022-12-17	83
2nI7KvR4vZqRW7ryGns6Ny	vaicaunoi,caudathaydoi	0	95	2022-12-16	13
0oFWMWy6YkOOtVs3B7Vd2K	Winter Mood 2023	0	95	2022-12-17	83
0Emswo3od5LcjbMcVnBjHt	Winterstimmung 2023	0	95	2022-12-17	83
2z23bquy5yfgrc20oH3rxP	Winter Chill 2023	0	95	2022-12-17	80
0oFWMWy6YkOOtVs3B7Vd2K	Winter Mood 2023	0	95	2022-12-17	83
1cVVsH6I5oQcFSFdQiAVqJ	Winter Hits 2023	0	93	2022-12-17	99
6tN6graMf5OKQ1vP8TIn1H	This is Pop Hits	0	94	2022-12-16	32
2cnLCdaSaJNTunyhnJaNGE	Best of 2022: Trending Viral	0	95	2022-12-17	45
0Y4Y3HcWFSy9v5qne2KD5J	Tick Tock 2022	0	95	2022-12-17	72
3D9ywEPUFSWuAt3DJitrFR	New Year's Eve 2023	0	95	2022-12-16	68
4DsRtPCkDwFLmdQnXbTL7f	Winter Vibes 2023	0	95	2022-12-17	83
0Emswo3od5LcjbMcVnBjHt	Winterstimmung 2023	0	95	2022-12-17	83
474Tzj1iUvkTtVjUZnMKvM	Hits France 2023 Vol.1	0	95	2022-12-16	25
2z23bquy5yfgrc20oH3rxP	Winter Chill 2023	0	95	2022-12-17	80
2wF9HI3PPLSwCfYIExMd9p	Contágiate de Navidad	0	95	2022-12-16	29
0Emswo3od5LcjbMcVnBjHt	Winterstimmung 2023	0	95	2022-12-17	83
2z23bquy5yfgrc20oH3rxP	Winter Chill 2023	0	95	2022-12-17	80
6yL80FKB8AKdDo8gviDhGA	Best Tunes of 2022	0	95	2022-12-16	43
7ineLjj7VEQG8TCx2q2ohH	Diciembre, Alegría y Felicidad	0	95	2022-12-16	28
5M4IWnyrUBxZYWM5GKneKu	Il meglio di Inverno 2022	0	95	2022-12-16	38
3ae9088CdzMh28DOWMLvIX	Fresh Start 2023	0	95	2022-12-16	25
3jXzuxKhLD0UBVMAhXT6M0	New Years 2023	0	95	2022-12-16	50
1P61UwaU3Irzkr9aG5XCMB	Mega Hits des Jahres 2022	0	95	2022-12-16	89
1godMIquzPCKZGJkkbSPYT	Feliz Xmas & Happy Navidad	0	95	2022-12-16	29
7Fq7Ql4jJ5ijaOkRO1Ft7E	Weihnachten 2023	0	95	2022-12-16	103
2Ro0unf9MBJGvcLLfo7liZ	2AM	46	182	2022-05-10	1
2Hyuin3i1cSZ1FlQFeCPZH	I love	75	181	2022-10-17	6
2H3DD9jBaIor2z1hda43gE	girls like me don't cry	59	184	2022-10-06	7
2miKCUKYhXGekJDx4ZsxiI	PHONG (feat. TGSN & Tyronee)	46	183	2022-05-20	1
4N7qnvyotrQcxAF8fKqO4e	Có Chơi Có Chịu	46	183	2022-09-25	1
4h8yUXtgFWfqMY7WdK1eIg	CITOPIA	54	182	2022-11-11	10
538vBy7c27uatest2Eu58q	Bắt Cóc Con Tim	44	182	2022-06-30	1
3Zu8uym76sjmYEGTFsXnSy	Our Blues, Pt. 4 (Original Television Soundtrack)	70	183	2022-04-24	2
2guZsP5qfBxYma8Y4mhVff	50/50	53	183	2022-03-21	8
0t2YXNqz7bv7n6mPorj8HC	Thằng Điên	45	183	2022-07-11	1
0qrKFjh1azBE1F7kCmYqE6	Vệ Tinh	43	182	2022-08-11	1
3u0ggfmK0vjuHMNdUbtaa9	ANTIFRAGILE	80	184	2022-10-17	5
0hmMXG6kAHqOJBuYD5indJ	Lạc Vào Trong Mơ	44	183	2022-04-09	2
2hEnymoejldpuxSdTnkard	SMITHEREENS	86	183	2022-11-04	9
4GRaUdMpYBxlTw88lnF0op	Vì Mẹ Anh Bắt Chia Tay	45	182	2022-06-13	1
0nzRF7khA2UDSZa9T0B6Da	After LIKE	75	182	2022-08-22	2
0S4pP8MBY9p7ngFWIZQAJv	BORN PINK	81	54	2022-09-16	8
1JYvtEw17jdrUi8Ej9IFWg	Có Khi (feat. Low G)	44	182	2022-10-13	1
