id	name	genres	followers	popularity
1LEtM3AleYg1xabW6CRkpi	Đen	indie viet, v-pop, vietnamese hip hop, vietnamese trap	2899329	59
3rjcQ5VIWCN4q7UFetzdeO	JustaTee	v-pop, vietnamese hip hop, vietnamese melodic rap	618216	55
5fa13NJjmn2uQ3dxZDi2Ge	Bich Phuong	v-pop	1182922	46
0qkGQFUrj8ERPAZcdpa79j	Phuc Du	v-pop	16509	46
71Cy7nzbfpuGJAS5FGxm93	Khoi Vu	vietnamese hip hop	25307	43
6TITnFVRcl0AcZ4syE7Toe	Low G	vietnamese hip hop	471258	56
4sDsgLXhS6If9HrV2mwuSx	hooligan.	v-pop	30335	41
6TITnFVRcl0AcZ4syE7Toe	Low G	vietnamese hip hop	471258	56
5HZtdKfC4xU0wvhEyYDWiY	HIEUTHUHAI	v-pop, vietnamese hip hop	318527	53
5UaJojKyJSqngDfoUw0P01	Harmonie		76	36
5dfZ5uSmzR7VQK0udbAVpf	Sơn Tùng M-TP	v-pop, vietnamese melodic rap	3912304	59
23xCr75lKvnFvKi8ImHE7S	Táo	v-pop, vietnamese hip hop	162410	46
3diftVOq7aEIebXKkC34oR	tlinh	indie viet, v-pop, vietnamese hip hop, vietnamese melodic rap	242550	57
2v14NO80QYditUms7sbEIZ	Trung Trần		2200	51
6NF9Oa4ThQWCj6mogFSrVD	W/N	indie viet, v-pop	397900	52
3JkGKNawown8MgcJsDw1WT	Duongg		13102	50
5zifyPCJIZxUBhVq7AydsT	Nâu		515	41
4POahBr8YCPNKGErIiofyx	Lyly	v-pop	140540	43
0zo8kCJVktn7oPnzpkbC2p	14 Casper	viet lo-fi	16781	47
6hnfLIkvDl6pjlAe1YRGXY	Bon Nghiêm		1419	47
2xvW7dgL1640K8exTcRMS4	Chillies	indie viet, v-pop	774716	51
7gJkNlcHtpuOhvl1FIDK1y	T Team	v-pop	38194	37
2NRcG7E1j2sSi8vnUzCcpi	Quân A.P	v-pop	268389	43
6OzE2OdvV2tGAxSBsBuZ74	Hoàng Dũng	v-pop, vietnamese singer-songwriter	457423	55
3Tr8fFMbWxysSzBztIqNPP	WHEE!	indie viet, v-pop	3827	43
6LrBtADUmDoLlcTrg448Qt	TIA	v-pop	18455	45
4NKeJPVrlhASY3FXkQsLGn	fueled by boba		140	35
3Tr8fFMbWxysSzBztIqNPP	WHEE!	indie viet, v-pop	3827	43
7Cp2hGcriAaDUAWpXnSEwm	buitruonglinh	indie viet, v-pop	116138	52
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85939438	91
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	canadian pop, pop	68405554	91
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85939438	91
7Cp2hGcriAaDUAWpXnSEwm	buitruonglinh	indie viet, v-pop	116138	52
2xK6qcvfXuFFbU0NL95aeo	Thịnh Suy	v-pop, vietnamese singer-songwriter	363094	55
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85939438	91
