id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
1RDvyOk4WtPCtoqciJwVn8	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	Jung Kook,BTS,FIFA Sound	k-pop boy group,k-pop	5382641,58715441,167875	80,92,77	183	Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]	2022-11-20	81	201391	False	92
6A1IbMKwjvXibcrU1sdqKH	Em Là	MONO,Onionn		100123,2809	54,55	182	22	2022-08-18	60	197333	False	62
7bFFUPBiF15n8m8RziqS4o	dự báo thời tiết hôm nay mưa	GREY D	v-pop	39690	56	182	dự báo thời tiết hôm nay mưa – Maxi Single	2022-11-22	52	281493	False	62
4QjxvzEFwb63NZ1pp3wvHy	Chết Trong Em	Thịnh Suy	vietnamese singer-songwriter,v-pop	359817	54	183	Chết Trong Em	2022-10-31	50	256663	False	62
5p8ThxM2OhJ0igfxkz0Z1q	Wild Flower (with youjeen)	RM	k-rap	12005881	81	183	Indigo	2022-12-02	85	273499	False	88
5OE0IzdS8Bs4UaLvDoTXKD	Có Đâu Ai Ngờ	Cầm		1173	41	183	Có Đâu Ai Ngờ	2022-09-08	47	220000	False	58
5yrPkBvOBvqfSjDhoRzDlO	Tại Vì Sao	RPT MCK	vietnamese trap,vietnamese hip hop,vietnamese melodic rap	271841	56	183	Tại Vì Sao	2022-09-23	52	203111	True	64
4ih9noxBfg7euMjCPO0qNH	Chìm Sâu	RPT MCK,Trung Trần	vietnamese trap,vietnamese hip hop,vietnamese melodic rap	271841,2186	56,50	183	Chìm Sâu	2022-02-24	52	156000	False	64
3wUp8eCTshIrJcYbjWaoyP	ThichThich	Phuong Ly	v-pop	292757	53	183	ThichThich	2022-07-24	50	241935	False	62
5B66uVtd4X6Tls9I2VQm4N	Lâu Lâu Nhắc Lại	Ha Nhi,Khói	vietnamese hip hop,v-pop	51045,192616	52,49	183	Lâu Lâu Nhắc Lại	2022-09-22	48	270000	False	59
6tCd8bPvYnceDG7W9M1RMk	Shut Down	BLACKPINK	k-pop,k-pop girl group	35313990	86	54	BORN PINK	2022-09-16	81	175889	False	85
5hkAuvgkOrd4KpDOlCNsvW	Waiting For You	MONO,Onionn		100123,2809	54,55	182	22	2022-08-18	60	265600	False	67
0h7QMc9ZRzA9QJrbEHytn2	The Astronaut	JIN	k-pop	4385474	75	183	The Astronaut	2022-10-28	77	282463	False	89
5Msoarj5hk9LguTtiIyqug	Ngày Đầu Tiên	Đức Phúc	v-pop	837955	50	183	Ngày Đầu Tiên	2022-02-11	48	208939	False	60
0mBP9X2gPCuapvpZ7TGDk3	Left and Right (Feat. Jung Kook of BTS)	Charlie Puth,Jung Kook,BTS	pop,k-pop,viral pop,k-pop boy group,dance pop	18655834,5382641,58715441	84,80,92	179	Left and Right (Feat. Jung Kook of BTS)	2022-06-24	75	154486	False	87
0Cy7uOfTjJrmHkNEPBBZxf	Bên Trên Tầng Lầu	Tăng Duy Tân	v-pop	60801	50	183	Bên Trên Tầng Lầu	2022-06-10	51	184000	False	63
50y0OQgar3BnwTt1pXdYsM	Lonely	RM	k-rap	12005881	81	183	Indigo	2022-12-02	85	166020	True	79
3dvkpe9FEekxxgaQtxOHQI	Mặt Mộc	Phạm Nguyên Ngọc,VAnh,Ân Nhi,BMZ	vietnamese singer-songwriter,v-pop	38910,2373,290,166	48,46,42,50	183	Mặt Mộc	2022-08-05	48	214293	False	59
12hD59WtTU92K1VcCXqLlw	Still Life (with Anderson .Paak)	RM	k-rap	12005881	81	183	Indigo	2022-12-02	85	175328	False	81
6Hs2xIgB8nzyGFDvVA8lFa	Có Em (feat. Low G)	Madihu,Low G	indie viet,vietnamese hip hop,v-pop,vietnamese melodic rap	75664,466894	53,56	182	Có Em (feat. Low G)	2022-04-22	52	218512	False	63
5ECHJ1llWBNYLVCYrllD3x	Chạy Khỏi Thế Giới Này	Da LAB,Phuong Ly	indie viet,vietnamese hip hop,v-pop	804976,292757	56,53	183	Chạy Khỏi Thế Giới Này	2022-06-30	51	255429	False	63
69xohKu8C1fsflYAiSNbwM	Run BTS	BTS	k-pop boy group,k-pop	58715441	92	183	Proof	2022-06-10	85	204939	False	86
7vPMugKcYwnX9Dh7SrLFHF	Change pt.2	RM	k-rap	12005881	81	183	Indigo	2022-12-02	85	114026	True	79
05X3a0YGmS1rbH50aL8lGF	Một Ngàn Nỗi Đau	Văn Mai Hương,Hứa Kim Tuyền	v-pop	289580,47927	48,50	182	Một Ngàn Nỗi Đau	2022-06-23	49	321904	False	60
5ky45fGKbzGYilDewlBD6Z	No.2 (with parkjiyoon)	RM	k-rap	12005881	81	183	Indigo	2022-12-02	85	193963	False	78
2VHXCihhlSC2lUFoCaemRN	Yêu Người Có Ước Mơ	buitruonglinh	indie viet,v-pop	113454	51	182	Bài Hát Hay Nhất - Big Song Big Deal (Tập 6)	2022-11-07	48	283520	False	60
