id	name	artist	genres	followers	artist popularity	markets	album	release date	album popularity	duration	explicit	popularity
2BgEsaKNfHUdlh97KmvFyo	2002	Anne-Marie	pop dance,post-teen pop,uk pop,pop,tropical house,dance pop	10179165	76	183	Speak Your Mind (Deluxe)	2018-04-27	72	186986	False	81
2zYc8JUkCUqY7r567OzpUc	Replay trên con Guây	Phuc Du,Đan Ni	v-pop	15757,5	46,36	183	Replay trên con Guây	2022-10-10	43	221607	False	54
4Pbg79cTBu4vgSphoyNq3j	2002	Anne-Marie	pop dance,post-teen pop,uk pop,pop,tropical house,dance pop	10179165	76	183	2002	2018-04-19	52	186986	False	63
53JDP7TaGacjUtnStYQp51	CƠN MƯA NGANG QUA - REMIX 2022	Sơn Tùng M-TP	vietnamese melodic rap,v-pop	3794533	57	183	CƠN MƯA NGANG QUA (REMIX 2022)	2022-06-07	34	236716	False	45
5cml547MByVlaVrKU2lJTg	Em iu	Andree Right Hand,Wxrdie,Bình Gold,2pillz	vietnamese hip hop,vietnamese melodic rap,vietnamese trap	79875,67054,132364,423	39,44,38,39	183	Em iu	2022-01-30	40	179986	True	51
5aucVLKiumD89mxVCB4zvS	Rush Hour (Feat. j-hope of BTS)	Crush,j-hope	k-pop,korean r&b,k-rap	1049749,12281987	67,73	180	Rush Hour	2022-09-22	69	177302	False	80
0IGUXY4JbK18bu9oD4mPIm	TOMBOY	(G)I-DLE	k-pop girl group,k-pop	4236322	74	181	I NEVER DIE	2022-03-14	71	174386	False	79
3nqQXoyQOWXiESFLlDF1hG	Unholy (feat. Kim Petras)	Sam Smith,Kim Petras	transpop,post-teen pop,uk pop,pop,dance pop	20643096,820466	87,82	182	Unholy (feat. Kim Petras)	2022-09-22	88	156943	False	100
1HsSIPLTQT354yJcQGfEY3	Good Boy Gone Bad	TOMORROW X TOGETHER	k-pop,k-pop boy group	6987084	75	183	minisode 2: Thursday's Child	2022-05-09	71	191038	False	77
3gZyjgWdEibTsQFEmGiSSk	2022 World Championship Theme	League of Legends	speedrun,video game music	1515248	78	183	2022 World Championship Theme	2022-09-07	40	205500	False	52
